list_name,name,label
block_location,ln_w_spadina_s_st_andrew_st_andrew_st_to_ln_w_spadina_n_glen_baillie,Ln W Spadina S St Andrew (St Andrew St to Ln W Spadina N Glen Baillie)
block_location,major_st_college_st_to_end,Major St (College St to end)
block_location,nassau_st_alley_cat_lane_to_bathurst_st,Nassau St (Alley Cat Lane to Bathurst St)
block_location,nassau_st_augusta_ave_to_bellevue_ave,Nassau St (Augusta Ave to Bellevue Ave)
block_location,nassau_st_bellevue_ave_to_end,Nassau St (Bellevue Ave to end)
block_location,nassau_st_chinatown_mural_lane_to_augusta_ave,Nassau St (Chinatown Mural Lane to Augusta Ave)
block_location,nassau_st_lippincott_st_to_alley_cat_lane,Nassau St (Lippincott St to Alley Cat Lane)
block_location,nassau_st_ln_e_lippincott_n_nassau_to_lippincott_st,Nassau St (Ln E Lippincott N Nassau to Lippincott St)
block_location,nassau_st_spadina_ave_to_chinatown_mural_lane,Nassau St (Spadina Ave to Chinatown Mural Lane)
block_location,nassau_st_start_to_ln_e_lippincott_n_nassau,Nassau St (start to Ln E Lippincott N Nassau)
block_location,oxford_st_augusta_ave_to_campbell_russell_lane,Oxford St (Augusta Ave to Campbell Russell Lane)
block_location,oxford_st_bellevue_ave_to_ln_e_lippincott_n_oxford,Oxford St (Bellevue Ave to Ln E Lippincott N Oxford)
block_location,oxford_st_campbell_russell_lane_to_bellevue_ave,Oxford St (Campbell Russell Lane to Bellevue Ave)
block_location,oxford_st_ellen_ave_to_end,Oxford St (Ellen Ave to end)
block_location,oxford_st_ln_e_lippincott_n_oxford_to_lippincott_st,Oxford St (Ln E Lippincott N Oxford to Lippincott St)
block_location,oxford_st_ln_w_spadina_n_oxford_to_ellen_ave,Oxford St (Ln W Spadina N Oxford to Ellen Ave)
block_location,oxford_st_sonya's_park_trl_to_augusta_ave,Oxford St (Sonya's Park Trl to Augusta Ave)
block_location,oxford_st_spadina_ave_to_ln_w_spadina_n_oxford,Oxford St (Spadina Ave to Ln W Spadina N Oxford)
block_location,oxford_st_start_to_sonya's_park_trl,Oxford St (start to Sonya's Park Trl)
block_location,robert_st_college_st_to_end,Robert St (College St to end)
block_location,sonya's_park_trl_oxford_st_to_end,Sonya's Park Trl (Oxford St to end)
block_location,sonya's_park_trl_start_to_end,Sonya's Park Trl (start to end)
block_location,sonya's_park_trl_start_to_oxford_st,Sonya's Park Trl (start to Oxford St)
block_location,spadina_ave_baldwin_st_to_nassau_st,Spadina Ave (Baldwin St to Nassau St)
block_location,spadina_ave_dundas_st_w_to_glen_baillie_pl,Spadina Ave (Dundas St W to Glen Baillie Pl)
block_location,spadina_ave_glen_baillie_pl_to_st_andrew_st,Spadina Ave (Glen Baillie Pl to St Andrew St)
block_location,spadina_ave_ln_s_college_e_spadina_to_college_st,Spadina Ave (Ln S College E Spadina to College St)
block_location,spadina_ave_nassau_st_to_end,Spadina Ave (Nassau St to end)
block_location,spadina_ave_oxford_st_to_ln_s_college_e_spadina,Spadina Ave (Oxford St to Ln S College E Spadina)
block_location,spadina_ave_st_andrew_st_to_end,Spadina Ave (St Andrew St to end)
block_location,spadina_ave_start_to_baldwin_st,Spadina Ave (start to Baldwin St)
block_location,spadina_ave_start_to_dundas_st_w,Spadina Ave (start to Dundas St W)
block_location,spadina_ave_start_to_oxford_st,Spadina Ave (start to Oxford St)
block_location,st_andrew_st_ln_w_spadina_s_st_andrew_to_kensington_ave,St Andrew St (Ln W Spadina S St Andrew to Kensington Ave)
block_location,st_andrew_st_spadina_ave_to_ln_w_spadina_s_st_andrew,St Andrew St (Spadina Ave to Ln W Spadina S St Andrew)
block_location,wales_ave_augusta_ave_to_bellevue_square_park_trl,Wales Ave (Augusta Ave to Bellevue Square Park Trl)
block_location,wales_ave_bellevue_ave_to_leonard_ave,Wales Ave (Bellevue Ave to Leonard Ave)
block_location,wales_ave_bellevue_square_park_trl_to_end,Wales Ave (Bellevue Square Park Trl to end)
block_location,wales_ave_leonard_ave_to_end,Wales Ave (Leonard Ave to end)
block_location,wales_ave_start_to_bellevue_ave,Wales Ave (start to Bellevue Ave)
block_location,willison_pl_start_to_dundas_st_w,Willison Pl (start to Dundas St W)
